Region,Country,Target,Indicator Number,Indicator Name,Year,Value,Metadata
Sub-Saharan Africa,Lesotho,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2022,6.43,SOURCE:  DRAFT BUDGET ESTIMATES FOR THE FINANCIAL YEAR 2022/2023 (http://www.finance.gov.ls/documents/Budget%20Formulation/budget%20book/Draft%20Budget%20Estimates%20Book%202022-23.pdf)
Sub-Saharan Africa,Lesotho,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2014,21.91,
Sub-Saharan Africa,Lesotho,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2013,7.29,"SOURCE: WB-Boost; downloaded from https://dataviz.worldbank.org/t/BOOST/authoring/CrossCountryInterfacev2/Dashboard1 on 10 August 2023; Coverage: General Government; budgettype: Spending in education; Amount calculated by setting expenditures under admin1 category ""03 Education and Training"" plus admin2 categories ""1603 Ntlafatso Skills & Training centre"",""0106 Lesotho Agricultural College"""
Sub-Saharan Africa,Lesotho,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2019,7.19,SOURCE:  BUDGET ESTIMATES FOR THE FINANCIAL YEAR 2019/2020 (http://www.finance.gov.ls/documents/Budget%20Formulation/budget%20book/2019-2020%20Budget%20Estimates%20Book.pdf)
Sub-Saharan Africa,Lesotho,4.1,4.1.4,"Out-of-school rate for children of primary school age, female (%)",2015,13.31,
Sub-Saharan Africa,Lesotho,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2016,7.80,"SOURCE:  Education Budget Brief 2019/20, National Budget Brief 2019/20 (http://www.finance.gov.ls/documents/Budget%20Evaluation/19-20%20Lesotho%20Education%20Budget%20Brief.pdf, http://www.finance.gov.ls/documents/Budget%20Evaluation/19-20%20Lesotho%20National%20Budget%20Brief.pdf)"
Sub-Saharan Africa,Lesotho,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2016,24.89,
Sub-Saharan Africa,Lesotho,4.1,4.1.4,"Out-of-school rate for children of primary school age, female (%)",2013,11.87,QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS.
Sub-Saharan Africa,Lesotho,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2015,24.74,
Sub-Saharan Africa,Lesotho,4.1,4.1.4,"Out-of-school rate for children of primary school age, female (%)",2016,12.53,
Sub-Saharan Africa,Lesotho,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2019,13.83,SOURCE:  BUDGET ESTIMATES FOR THE FINANCIAL YEAR 2019/2020 (http://www.finance.gov.ls/documents/Budget%20Formulation/budget%20book/2019-2020%20Budget%20Estimates%20Book.pdf)
Sub-Saharan Africa,Lesotho,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2014,18.10,"SOURCE: WB-Boost; downloaded from https://dataviz.worldbank.org/t/BOOST/authoring/CrossCountryInterfacev2/Dashboard1 on 10 August 2023; Coverage: General Government; budgettype: Spending in education; Amount calculated by setting expenditures under admin1 category ""03 Education and Training"" plus admin2 categories ""1603 Ntlafatso Skills & Training centre"",""0106 Lesotho Agricultural College"""
Sub-Saharan Africa,Lesotho,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2023,11.26,SOURCE:  DRAFT BUDGET ESTIMATES FOR THE FINANCIAL YEAR 2022/2023 (http://www.finance.gov.ls/documents/Budget%20Formulation/budget%20book/Draft%20Budget%20Estimates%20Book%202022-23.pdf)
Sub-Saharan Africa,Lesotho,4.1,4.1.2,"Completion rate, primary education, male (%)",2019,57.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2020,64.16,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, male (%)",2016,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, female (%)",2017,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, female (%)",2016,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2020,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2015,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2014,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2019,88.74,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2015,0.08,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2021,0.27,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2014,57.07,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2019,88.96,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, female (%)",2013,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2013,14.75,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Lithuania,4.5,4.5.6,Initial private expenditure on education (household) as a percentage of GDP (%),2015,0.58,SOURCE: OECD data
Europe and Northern America,Lithuania,4.5,4.5.6,"Expenditure on education (public, households, ODA) as a percentage of GDP",2015,4.45,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2018,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, male (%)",2015,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.5,4.5.6,Initial private expenditure on education (household) as a percentage of GDP (%),2017,0.51,SOURCE: OECD data
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2017,88.42,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.5,4.5.6,Initial private expenditure on education (household) as a percentage of GDP (%),2020,0.39,
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2020,88.75,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2019,63.84,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2016,3.91,SOURCE: UIS/UOE data
Europe and Northern America,Lithuania,4.5,4.5.6,"Expenditure on education (public, private, international) as a percentage of GDP",2014,4.71,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Lithuania,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2017,0.00,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Lithuania,4.5,4.5.6,"Expenditure on education (public, private, international) as a percentage of GDP",2018,4.34,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Lithuania,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2019,13.28,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Lithuania,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2020,0.00,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Lithuania,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2020,12.17,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Lithuania,4.5,4.5.6,"Expenditure on education (public, households, ODA) as a percentage of GDP",2016,4.45,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Lithuania,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2016,0.00,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2015,86.11,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2019,0.00,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2013,54.83,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, female (%)",2018,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.5,4.5.6,"Expenditure on education (public, private, international) as a percentage of GDP",2015,4.65,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Lithuania,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2021,4.84,SOURCE: IMF; indicator GEE_G14_GDP_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of GDP; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, male (%)",2017,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2017,0.23,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2013,0.01,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, female (%)",2019,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2014,57.00,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2020,89.37,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2016,13.96,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Lithuania,4.5,4.5.6,"Expenditure on education (public, households, ODA) as a percentage of GDP",2018,4.17,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2018,62.16,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, male (%)",2014,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2017,60.53,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2014,4.49,
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2017,60.36,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2019,63.73,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2019,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2014,14.50,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Lithuania,4.5,4.5.6,"Expenditure on education (public, households, ODA) as a percentage of GDP",2013,4.62,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, male (%)",2013,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2021,90.26,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2014,84.66,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2018,88.20,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2016,87.20,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.5,4.5.6,Initial private expenditure on education (household) as a percentage of GDP (%),2018,0.49,SOURCE: OECD data
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2021,66.16,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2020,64.76,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2013,0.14,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2018,0.00,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2015,58.53,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2019,3.97,
Europe and Northern America,Lithuania,4.5,4.5.6,Initial private expenditure on education (household) as a percentage of GDP (%),2014,0.54,SOURCE: OECD data
Europe and Northern America,Lithuania,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2018,13.32,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2017,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2021,90.61,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, male (%)",2019,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2015,14.43,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Lithuania,4.5,4.5.6,"Expenditure on education (public, private, international) as a percentage of GDP",2017,4.40,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2020,89.07,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2020,4.18,SOURCE: UIS/UOE data
Europe and Northern America,Lithuania,4.5,4.5.6,"Expenditure on education (public, households, ODA) as a percentage of GDP",2014,4.54,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2013,81.87,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2019,3.69,SOURCE: UIS/UOE data
Europe and Northern America,Lithuania,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2018,3.89,
Europe and Northern America,Lithuania,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2021,12.74,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2019,88.51,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, male (%)",2018,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2013,81.78,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.5,4.5.6,Initial private expenditure on education (household) as a percentage of GDP (%),2019,0.49,SOURCE: OECD data
Europe and Northern America,Lithuania,4.5,4.5.6,Initial private expenditure on education (household) as a percentage of GDP (%),2016,0.54,SOURCE: OECD data
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2018,62.27,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2016,59.16,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2013,81.96,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, female (%)",2015,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.1,4.1.4,"Out-of-school rate for children of primary school age, female (%)",2021,0.30,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2017,3.81,
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2018,88.51,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2017,60.18,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2020,0.11,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2018,3.67,SOURCE: UIS/UOE data
Europe and Northern America,Lithuania,4.5,4.5.6,"Expenditure on education (public, private, international) as a percentage of GDP",2019,4.35,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2016,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.5,4.5.6,"Expenditure on education (public, private, international) as a percentage of GDP",2016,4.63,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Lithuania,4.5,4.5.6,"Expenditure on education (public, households, ODA) as a percentage of GDP",2017,4.23,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, male (%)",2020,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2018,87.88,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2015,3.87,SOURCE: UIS/UOE data
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2019,63.61,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2015,86.18,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2013,54.78,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.5,4.5.6,"Expenditure on education (public, households, ODA) as a percentage of GDP",2019,4.18,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Lithuania,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2014,0.01,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Lithuania,4.5,4.5.6,Initial private expenditure on education (household) as a percentage of GDP (%),2013,0.57,SOURCE: OECD data
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2014,84.83,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2021,66.42,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2013,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.5,4.5.6,"Expenditure on education (public, private, international) as a percentage of GDP",2013,4.78,SOURCE: UIS estimate based on data available for each sub-indicator
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2014,56.93,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2015,58.37,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2019,0.10,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2014,0.07,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2016,59.24,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2018,0.18,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2013,54.80,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2013,4.05,SOURCE: UIS/UOE data
Europe and Northern America,Lithuania,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2015,4.23,
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2017,87.60,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2013,4.60,
Europe and Northern America,Lithuania,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2017,13.68,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2021,89.89,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, female (%)",2020,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2015,0.00,SOURCE: OECD CRS data (0 is either 0 or not reported); UIS/UOE data and OECD CRS data
Europe and Northern America,Lithuania,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2017,3.72,SOURCE: UIS/UOE data
Europe and Northern America,Lithuania,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2014,4.00,SOURCE: UIS/UOE data
Europe and Northern America,Lithuania,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2020,4.51,
Europe and Northern America,Lithuania,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2016,4.00,
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2015,58.19,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2016,87.04,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2016,86.88,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.4,"Out-of-school rate for children of primary school age, male (%)",2021,0.23,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.4,"Out-of-school rate for children of primary school age, both sexes (%)",2016,0.10,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.1,4.1.2,"Completion rate, primary education, female (%)",2014,100.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2015,86.15,QUALIFIER: This data point is a NATIONAL ESTIMATE.
Europe and Northern America,Lithuania,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2014,84.74,QUALIFIER: This data point is a NATIONAL ESTIMATE.
